Backlight:,Contrast Ratio:,Dot Format:,Horizontal Viewing Angle:,Interface:,LCD Mode:,Luminance (Cd/m2):,Mass (g):,Module Type:,Operating Temperature (oC):,Outer Dimension (mm):,Power Consumption:,Product Feature:,Size:,Status:,Storage Temperature (oC):,Type:,Vertical Viewing Angle:,Viewing Direction:
LED,500:1,640X480,+-80,18-bit RGB Interface,Normally White TN,300,210,TFT Digital,-20 to 70,144 (W)  x 104.8 (H)  x 13 (D) ,,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-80,LVDS ,Normally White TN,450,110g,TFT Digital,-20 to 70,127.2 (W)  x 100.4 (H)  x 5.99 (D) ,,"LED, Built-in LED Driver, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,320X240,+-80,CMOS,Normally White TN,1000,,TFT Digital,-20 to 70,134.5 (W)  x 103.4 (H)  x 8 (D) ,,"LED, Super High Bright, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,320X240,+-80,18-bit RGB Interface,Normally White TN,500,,TFT Digital,-20 to 70,134.5 (W)  x 103.4 (H)  x 8 (D) ,,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,320X240,+-80,CMOS,Normally White TN,800,250g,TFT Digital,-20 to 70,144 (W)  x 104.8 (H)  x 14.8 (D) ,,"High Bright, LED, 4-wire resistive TTS, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,12:00
LED,500:1,320X240,+-80,18-bit RGB Interface,Normally White TN,1000,210,TFT Digital,-20 to 70,144 (W)  x 104.8 (H)  x 13 (D) ,,"LED, Super High Bright, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,12:00
LED,500:1,320X240,+-80,18-bit RGB Interface,Normally White TN,350,210,TFT Digital,-20 to 70,144 (W)  x 104.8 (H)  x 13 (D) ,,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,320X240,+-80,CMOS,Normally White TN,300,110g,TFT Digital,-20 to 70,127.2 (W)  x 100.4 (H)  x 5.7 (D) ,,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,320X240,+-80,18-bit RGB Interface,Normally White TN,300,110,TFT Digital,-20 to 70,127.2 (W)  x 100.4 (H)  x 5.7 (D) ,,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-70,18-bit RGB Interface,Normally White TN,400,,TFT Digital,-20 to 70,143.2 (W)  x 103.8 (H)  x 11.6 (D) ,,"LED, 4-wire resistive TTS, Industrial","5.7""",Active,-30 to 80,Transmissive,+-70,12:00
LED,500:1,640X480,+-70,CMOS,Normally White TN,500,180,TFT Digital,-20 to 70,143.2 (W)  x 103.8 (H)  x 12.1 (D) ,2.7 W,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,+-70,12:00
LED,350:1,320X240,+-70,CMOS,Normally White TN,800,255.0,TFT Digital,-20 to 70,144.0 (W)  x 104.6 (H)  x 13.5 (D) ,,"High Bright, LED, Industrial","5.7""",Active,-30 to 80,Transmissive,+-70,6:00
LED,350:1,320X240,+-70,CMOS,Normally White TN,500,255 g,TFT Digital,-20 to 70,144.0 (W)  x 104.6 (H)  x 13.5 (D) ,2.7 W,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,+-70,6:00
LED,350:1,320X240,+-70,CMOS,Normally White,400,306,TFT Digital,-20 to 70,144.0 (W)  x 104.6 (H)  x 15.1 (D) ,2.7 W,"LED, 4-wire resistive TTS, Industrial","5.7""",Active,-30 to 70,Transmissive,+-70,6:00
LED,500:1,640X480,+-70,LVDS ,Normally White TN,500,180,TFT Digital,-20 to 70,143.2 (W)  x 103.8 (H)  x 11.6 (D) ,3.1 W,"LED, Industrial","5.7""",Active,-30 to 80,Transmissive,+-70,12:00
LED,500:1,640X240,-85/85,LVDS ,Normally Black,500,115g,TFT Digital,-20 to 70,173 (W)  x 70 (H)  x 6.7 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","6.2""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,640X240,+-80,18-bit RGB Interface,Normally White TN,300,105 g,TFT Digital,-20 to 70,173 (W)  x 70 (H)  x 6.7 (D) ,,"LED, Industrial","6.2""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,800:1,640X480,+-80,CMOS,Normally White,800,280,TFT Digital,-20 to 70,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,4.5 W,"High Bright, LED, 4-wire resistive TTS, Industrial","6.5""",Active,-20 to 70,Transmissive,-70/50,6:00
LED,800:1,640X480,+-80,CMOS,Normally White,1000,230,TFT Digital,-20 to 70,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,4.5 W,"High Bright, LED, Industrial","6.5""",Active,-20 to 70,Transmissive,-70/50,6:00
LED,800:1,640X480,+-80,CMOS,Normally White,600,230,TFT Digital,-25 to 75,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,4.5 W,"High Bright, LED, Anti-Reflective Surface, Industrial","6.5""",Active,-25 to 85,Transmissive,-70/50,6:00
LED,300:1,640X480,+-55,LVDS ,Normally White TN,750,230g,TFT Digital,-20 to 70,158.0 (W)  x 120.36 (H)  x 10.5 (D) ,3.0 W,"High Bright, LED, Industrial","6.5""",Active,-20 to 70,Transmissive,-60/30,6:00
LED,800:1,92X800,+-80,CMOS,Normally White TN,400,,TFT Digital,-20 to 70,27.75 (W)  x 196.9 (H)  x 6.3 (D) ,,"LED, Industrial","6.6""",Active,-30 to 80,Transmissive,-60/80,6:00
LED,650:1,800X480,-85/85,LVDS ,Normally Black,500,(305)g,TFT Digital,-20 to 70,169.8 (W)  x 109.7 (H)  x (10.25) (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial, On-cell PCAP, Cover Glass","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,650:1,800X480,-85/85,LVDS ,Normally Black,500,260,TFT Digital,-20 to 70,169.8 (W)  x 109.7 (H)  x 9.2 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial, On-cell PCAP","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,650:1,800X480,-85/85,LVDS ,Normally Black,350,205,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.6 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X480,-85/85,CMOS,Normally Black,500,200g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.2 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X480,-85/85,CMOS,Normally Black,350,200  g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.2 (D) ,,"LED, Advanced-Wide-View, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X480,-85/85,CMOS,Normally Black,280,255g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 10 (D) ,,"LED, 4-wire resistive TTS, Advanced-Wide-View, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,1000:1,800X480,+-80,LVDS ,Normally White TN,700,205g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.6 (D) ,,"High Bright, LED, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,6:00
LED,1000:1,800X480,+-80,LVDS ,Normally White TN,700,210,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.6 (D) ,,"High Bright, LED, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,
LED,1000:1,800X480,+-80,LVDS ,Normally White TN,350,205,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.6 (D) ,,"LED, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,LVDS ,Normally White,350,205,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.6 (D) ,,"LED, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,LVDS ,Normally White TN,560,265g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 10.4 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,LVDS ,Normally White,280,260,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 10.4 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,CMOS,Normally White TN,350,195g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.2 (D) ,,"LED, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,
LED,1000:1,800X480,+-80,CMOS,Normally White TN,700,195 g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 8.2 (D) ,,"High Bright, LED, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,CMOS,Normally White TN,350,195 g,TFT Digital,-20 to 70,165 (W)  x 10404 (H)  x 8.2 (D) ,,"LED, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,CMOS,Normally White TN,560,250g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 10 (D) ,,"LED, 4-wire resistive TTS, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,1000:1,800X480,+-80,CMOS,Normally White TN,270,250g,TFT Digital,-20 to 70,165 (W)  x 104.4 (H)  x 10 (D) ,,"LED, 4-wire resistive TTS, Industrial","7.0""",Active,-30 to 80,Transmissive,-80/60,12:00
LED,750:1,800X480,-85/85,LVDS ,Normally Black,1000,230g,TFT Digital,-30 to 80,169.8 (W)  x 109.7 (H)  x 9.7 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,800X480,-85/85,LVDS ,Normally Black,1000,(235),TFT Digital,-30 to 80,169.8 (W)  x 109.7 (H)  x 9.7 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial","7.0""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,640X480,+-80,18-bit RGB Interface,Normally White TN,400,340,TFT Digital,-20 to 70,184 (W)  x 139.8 (H)  x 12.7 (D) ,,"LED, Industrial","7.5""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-80,LVDS ,Normally White TN,250,TBD,TFT Digital,-20 to 70,173 (W)  x 133 (H)  x 6.4 (D) ,,"LED, Built-in LED Driver, Industrial","7.5""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-80,18-bit RGB Interface,Normally White TN,400,205,TFT Digital,-20 to 70,173 (W)  x 133 (H)  x 4.4 (D) ,,"LED, Industrial","7.5""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,500:1,640X480,+-80,18-bit RGB Interface,Normally White TN,250,205,TFT Digital,-20 to 70,173 (W)  x 133 (H)  x 4.4 (D) ,,"LED, Industrial","7.5""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-80,18-bit RGB Interface,Normally White TN,280,355,TFT Digital,-20 to 70,184 (W)  x 139.8 (H)  x 12.7 (D) ,,"LED, Industrial","7.5""",Active,-30 to 80,Transmissive,-80/80,
LED,500:1,640X480,+-70,18-bit RGB Interface,Normally White TN,550,300,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"LED, Industrial","8.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-65,18-bit RGB Interface,Normally White TN,850,320,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"High Bright, LED, Industrial","8.4""",Active,-30 to 80,Transmissive,-65/60,6:00
LED,500:1,640X480,+-65,18-bit RGB Interface,Normally White TN,450,320 g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"LED, Industrial","8.4""",Active,-30 to 80,Transmissive,-65/60,6:00
LED,500:1,640X480,-65/-65,CMOS,Normally White TN,680,405g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Industrial","8.4""",Active,-30 to 80,Transmissive,-65/60,6:00
LED,500:1,640X480,,CMOS,Normally White TN,360,405,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Industrial","8.4""",Active,-30 to 80,Transmissive,,
LED,500:1,640X480,+-65,CMOS,Normally White TN,360,400g,Automotive TFT,-20 to 70,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Industrial","8.4""",Active,-30 to 80,Transmissive,-65/60,6:00
LED,500:1,800X600,-85/85,LVDS ,Normally Black,400,315 g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X600,-85/85,LVDS ,Normally Black,320,400g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,+-85,
LED,800:1,800X600,+-80,LVDS ,Normally White TN,750,330g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"High Bright, LED, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,-60/80,
LED,800:1,800X600,+-80,LVDS ,Normally White TN,400,315,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 9 (D) ,,"LED, Industrial","8.4""",Active,-30 to 80,Transmissive,-60/80,6:00
LED,500:1,800X600,+-80,LVDS ,Normally White TN,320,400g,TFT Digital,-20 to 70,199.5 (W)  x 147.4 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,-60/80,6:00
LED,750:1,800X600,-85/85,LVDS ,Normally Black,1200,(390),TFT Digital,-30 to 80,199.5 (W)  x 149.0 (H)  x 11.5 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,800X600,-85/85,LVDS ,Normally Black,600,390g,TFT Digital,-30 to 80,199.5 (W)  x 149.0 (H)  x 11.5 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","8.4""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X480,-85/85,18-bit RGB Interface,Normally Black,400,310,TFT Digital,-20 to 70,210 (W)  x 134 (H)  x 8.7 (D) ,,"LED, Advanced-Wide-View, Industrial","8.5""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,800X480,+-60,18-bit RGB Interface,Normally White TN,400,,TFT Digital,-20 to 70,210 (W)  x 134 (H)  x 8.5 (D) ,,"LED, Industrial","8.5""",Active,-30 to 80,Transmissive,-45/60,
LED,500:1,800X480,+-60,CMOS,Normally White TN,400,,TFT Digital,-20 to 70,210.7 (W)  x 131.3 (H)  x 14.0 (D) ,,"LED, 4-wire resistive TTS, Industrial","8.5""",Active,-30 to 80,Transmissive,-45/60,12:00
LED,800:1,1280X800,+-80,LVDS ,Normally White TN,500,,TFT Digital,-20 to 70,236  (W)  x 156.8 (H)  x 9.4 (D) ,,"LED, Built-in LED Driver, Industrial","10.1""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,800:1,1280X800,+-80,LVDS ,Normally White TN,400,605g,TFT Digital,-20 to 70,236 (W)  x 156.8 (H)  x 11.2 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","10.1""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,700:1,1024X768,-85/85,LVDS ,Normally Black,1300,,TFT Digital,-30 to 80,230 (W)  x 180.2 (H)  x 10.5 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,700:1,1024X768,-85/85,LVDS ,Normally Black,600,480g,TFT Digital,-30 to 80,230 (W)  x 180.2 (H)  x 10.5 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,700:1,1024X768,-85/85,LVDS ,Normally Black,600,,TFT Digital,-30 to 80,230 (W)  x 180.2 (H)  x 10.5 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,500:1,640X480,+-70,LVDS ,Normally White TN,450,445g,Automotive TFT,-20 to 80,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,
LED,500:1,640X480,+-70,18-bit RGB Interface,Normally White TN,800,470 g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"High Bright, LED, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-70,CMOS,,800,470g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-70,18-bit RGB Interface,Normally White TN,400,455,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-70,18-bit RGB Interface,Normally White TN,400,455 g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-70,CMOS,Normally White TN,320,580g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,640X480,+-70,CMOS,Normally White TN,320,580g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Industrial","10.4""",Active,-30 to 80,Transmissive,-70/60,6:00
LED,500:1,800X600,-85/85,LVDS ,Normally Black,400,470 g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Advanced-Wide-View, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,800X600,-85/85,LVDS ,Normally Black,320,595g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,900:1,800X600,+-80,LVDS ,Normally White TN,700,475,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9.0 (D) ,,"High Bright, LED, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-60/80,
LED,900:1,800X600,+-80,LVDS ,Normally White TN,450,460 g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 9 (D) ,,"LED, Industrial","10.4""",Active,-30 to 80,Transmissive,-60/80,6:00
LED,500:1,800X600,+-80,LVDS ,Normally White TN,360,585g,TFT Digital,-20 to 70,240.7 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,-60/80,6:00
LED,750:1,800X600,-85/85,LVDS ,Normally Black,1200,TBD,TFT Digital,-30 to 80,230 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,800X600,-85/85,LVDS ,Normally Black,700,535g,TFT Digital,-30 to 80,230 (W)  x 180.2 (H)  x 10.8 (D) ,,"LED, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial","10.4""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,1024X768,-85/85,LVDS ,Normally Black,1200,,TFT Digital,-30 to 80,260.5 (W)  x 203 (H)  x 10.2 (D) ,,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,1024X768,-85/85,LVDS ,Normally Black,400,,TFT Digital,-30 to 80,260.5 (W)  x 203.4 (H)  x 10.3 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,+-85,
LED,750:1,1280X800,-85/85,LVDS ,Normally Black,500,680g,TFT Digital,-20 to 70,277.7 (W)  x 182.5 (H)  x 9.8 (D) ,,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,+-85,
LED,650:1,800X600,-85/85,LVDS ,Normally Black,450,670,TFT Digital,-20 to 70,265 (W)  x 207.7 (H)  x 9.6 (D) ,,"LED, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,+-85,
LED,650:1,800X600,-85/85,LVDS ,Normally Black,450,,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,"LED, Advanced-Wide-View, Industrial","12.1""",Active,-20 to 70,Transmissive,+-85,
LED,500:1,800X600,-85/85,LVDS ,Normally Black,360,670g,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 12 (D) ,,"LED, 4-wire resistive TTS, Advanced-Wide-View, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,+-85,
LED,1000:1,800X600,+-80,CMOS,Normally White TN,500,645 g,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,"LED, Industrial","12.1""",Active,-30 to 80,Transmissive,-65/80,6:00
LED,1000:1,800X600,+-80,CMOS,Normally White TN,400,670,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 12 (D) ,,"LED, 4-wire resistive TTS, Industrial","12.1""",Active,-30 to 80,Transmissive,-65/80,6:00
LED,1000:1,800X600,+-80,LVDS ,Normally White TN,500,645 g,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,"LED, Ultra-wide-view, Industrial","12.1""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,1000:1,800X600,+-80,LVDS ,Normally White TN,500,645,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 9.5 (D) ,,"LED, Industrial","12.1""",Active,-30 to 80,Transmissive,-80/80,6:00
LED,1000:1,800X600,+-80,LVDS ,Super Reflective Color,400,670g,TFT Digital,-20 to 70,278.3 (W)  x 207.5 (H)  x 12 (D) ,,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial","12.1""",Active,-30 to 80,Transmissive,-80/80,6:00
